Id,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
84,2,0,,0,0,10.7083,2
85,3,0,,1,0,14.4542,0
86,3,1,27.0,0,0,7.8792,2
87,3,1,18.0,0,0,8.05,1
88,3,1,,0,0,7.75,2
89,2,0,2.0,1,1,23.0,1
90,3,1,22.0,1,0,13.9,1
91,3,0,,0,0,7.775,1
92,1,1,27.0,1,2,52.0,1
93,3,0,,0,0,8.05,1
94,1,0,25.0,0,0,26.0,0
95,3,0,25.0,0,0,7.7958,1
96,1,1,76.0,1,0,78.85,1
97,3,0,29.0,0,0,7.925,1
98,3,1,20.0,0,0,7.8542,1
99,3,0,33.0,0,0,8.05,1
100,1,1,43.0,1,0,55.4417,0
101,2,0,27.0,1,0,26.0,1
102,3,0,,0,0,7.75,2
103,3,0,26.0,0,0,7.775,1
104,3,1,16.0,1,1,8.5167,0
105,3,0,28.0,0,0,22.525,1
106,3,0,21.0,0,0,7.8208,2
107,3,0,,0,0,7.75,2
108,3,0,,0,0,8.7125,1
109,2,0,18.5,0,0,13.0,1
110,2,0,41.0,0,0,15.0458,0
111,3,1,,0,0,7.7792,2
112,1,1,36.0,0,0,31.6792,0
113,3,1,18.5,0,0,7.2833,2
114,1,1,63.0,1,0,221.7792,1
115,3,0,18.0,1,0,14.4542,0
116,3,0,,0,0,6.4375,0
117,3,1,1.0,1,1,16.7,1
118,1,0,36.0,0,0,75.2417,0
119,2,1,29.0,1,0,26.0,1
120,2,1,12.0,0,0,15.75,1
121,3,0,,1,0,7.75,2
122,1,1,35.0,1,0,57.75,0
123,3,0,28.0,0,0,7.25,1
124,3,0,,0,0,7.75,2
125,3,1,17.0,0,1,16.1,1
126,3,0,22.0,0,0,7.7958,1
127,3,1,,2,0,23.25,2
128,2,0,42.0,0,0,13.0,1
129,3,0,24.0,0,0,8.05,1
130,3,0,32.0,0,0,8.05,1
131,1,0,53.0,0,0,28.5,0
132,3,1,,0,4,25.4667,1
133,3,0,,1,0,6.4375,0
134,3,0,43.0,0,0,7.8958,1
135,3,0,24.0,0,0,7.8542,1
136,3,0,26.5,0,0,7.225,0
137,2,0,26.0,0,0,13.0,1
138,3,1,23.0,0,0,8.05,1
139,3,0,40.0,1,6,46.9,1
140,3,1,10.0,5,2,46.9,1
141,1,1,33.0,0,0,151.55,1
142,1,0,61.0,1,3,262.375,0
143,2,0,28.0,0,0,26.0,1
144,1,0,42.0,0,0,26.55,1
145,3,0,31.0,3,0,18.0,1
146,1,0,,0,0,51.8625,1
147,3,0,22.0,0,0,8.05,1
148,1,0,,0,0,26.55,1
149,2,0,30.0,1,1,26.0,1
150,1,1,23.0,0,1,83.1583,0
151,3,0,,0,0,7.8958,0
152,3,0,60.5,0,0,,1
153,3,1,36.0,0,2,12.1833,1
154,3,0,13.0,4,2,31.3875,1
155,3,0,24.0,0,0,7.55,1
156,1,1,29.0,0,0,221.7792,1
157,3,1,23.0,0,0,7.8542,1
158,1,0,42.0,0,0,26.55,1
159,3,1,26.0,0,2,13.775,1
160,3,1,,0,0,7.7333,2
161,3,0,7.0,1,1,15.2458,0
162,2,1,26.0,0,0,13.5,1
163,3,0,,0,0,7.0,1
164,2,0,41.0,0,0,13.0,1
165,3,1,26.0,1,1,22.025,1
166,1,0,48.0,0,0,50.4958,0
167,3,0,18.0,2,2,34.375,1
168,1,1,,0,0,27.7208,0
169,3,1,22.0,0,0,8.9625,1
170,3,0,,0,0,7.55,1
171,3,0,27.0,0,0,7.225,0
172,3,0,23.0,1,0,13.9,1
173,3,0,,0,0,7.2292,0
174,3,0,40.0,1,5,31.3875,1
175,2,1,15.0,0,2,39.0,1
176,2,1,20.0,0,0,36.75,1
177,1,0,54.0,1,0,55.4417,0
178,2,1,36.0,0,3,39.0,1
179,1,1,64.0,0,2,83.1583,0
180,2,0,30.0,0,0,13.0,1
181,1,0,37.0,1,1,83.1583,0
182,1,1,18.0,1,0,53.1,1
183,3,0,,0,0,7.75,2
184,1,1,27.0,1,1,247.5208,0
185,2,0,40.0,0,0,16.0,1
186,2,1,21.0,0,1,21.0,1
187,3,0,17.0,2,0,8.05,1
188,3,1,,8,2,69.55,1
189,2,0,40.0,0,0,13.0,1
190,2,0,34.0,1,0,26.0,1
191,1,0,,0,0,26.0,1
192,3,0,11.5,1,1,14.5,1
193,2,0,61.0,0,0,12.35,2
194,2,0,8.0,0,2,32.5,1
195,3,0,33.0,0,0,7.8542,1
196,1,0,6.0,0,2,134.5,0
197,3,1,18.0,0,0,7.775,1
198,2,0,23.0,0,0,10.5,1
199,3,1,,0,0,8.1125,1
200,3,1,,0,0,15.5,2
201,3,0,0.33,0,2,14.4,1
202,1,0,47.0,1,0,227.525,0
203,2,1,8.0,1,1,26.0,1
204,2,0,25.0,0,0,10.5,1
205,1,0,,0,0,25.7417,0
206,3,1,35.0,0,0,7.75,2
207,2,0,24.0,0,0,10.5,1
208,1,1,33.0,0,0,27.7208,0
209,3,0,25.0,0,0,7.8958,1
210,3,0,32.0,0,0,22.525,1
211,3,0,,0,0,7.05,1
212,2,0,17.0,0,0,73.5,1
213,2,1,60.0,1,0,26.0,1
214,3,1,38.0,4,2,7.775,1
215,1,0,42.0,0,0,42.5,1
216,3,1,,0,0,7.8792,2
217,1,0,57.0,1,1,164.8667,1
218,1,1,50.0,1,1,211.5,0
219,3,0,,0,0,8.05,1
220,2,1,30.0,1,0,13.8583,0
221,3,0,21.0,0,0,8.05,1
222,2,1,22.0,0,0,10.5,1
223,3,0,21.0,0,0,7.7958,1
224,1,1,53.0,0,0,27.4458,0
225,3,1,,0,2,15.2458,0
226,3,0,23.0,0,0,7.7958,1
227,3,1,,0,0,7.75,2
228,3,0,40.5,0,0,15.1,1
229,2,0,36.0,0,0,13.0,1
230,2,0,14.0,0,0,65.0,1
231,1,1,21.0,0,0,26.55,1
232,3,0,21.0,1,0,6.4958,1
233,3,0,,0,0,7.8792,2
234,1,0,39.0,1,0,71.2833,0
235,3,0,20.0,0,0,7.8542,1
236,1,0,64.0,1,0,75.25,0
237,3,0,20.0,0,0,7.225,0
238,2,1,18.0,1,1,13.0,1
239,1,1,48.0,1,0,106.425,0
240,1,1,55.0,0,0,27.7208,0
241,2,1,45.0,0,2,30.0,1
242,1,0,45.0,1,1,134.5,0
243,3,0,,0,0,7.8875,1
244,3,0,,1,2,23.45,1
245,1,0,41.0,1,0,51.8625,1
246,2,1,22.0,0,0,21.0,1
247,2,0,42.0,1,1,32.5,1
248,2,1,29.0,1,0,26.0,1
249,3,1,,1,0,14.4542,0
250,2,1,0.92,1,2,27.75,1
251,3,0,20.0,0,0,7.925,1
252,1,0,27.0,1,0,136.7792,0
253,3,0,24.0,0,0,9.325,1
254,3,0,32.5,0,0,9.5,1
255,3,0,,0,0,7.55,1
256,3,0,,0,0,7.75,2
257,3,0,28.0,0,0,8.05,1
258,2,1,19.0,0,0,13.0,1
259,3,0,21.0,0,0,7.775,1
260,3,0,36.5,1,0,17.4,1
261,3,0,21.0,0,0,7.8542,1
262,2,1,29.0,0,2,23.0,1
263,3,1,1.0,1,1,12.1833,1
264,2,0,30.0,0,0,12.7375,0
265,3,0,,0,0,7.8958,1
266,1,0,,0,0,0.0,1
267,3,0,,0,0,7.55,1
268,3,1,,0,0,8.05,1
269,3,0,17.0,0,0,8.6625,1
270,1,0,46.0,0,0,75.2417,0
271,3,0,,0,0,7.75,2
272,1,1,26.0,1,0,136.7792,0
273,3,1,,1,0,15.5,2
274,3,0,,0,0,7.225,0
275,2,1,20.0,1,0,26.0,1
276,2,0,28.0,0,0,10.5,1
277,2,0,40.0,1,0,26.0,1
278,2,0,30.0,1,0,21.0,1
279,2,0,22.0,0,0,10.5,1
280,3,1,23.0,0,0,8.6625,1
281,3,0,0.75,1,1,13.775,1
282,3,1,,0,0,7.75,2
283,3,1,9.0,1,1,15.2458,0
284,3,1,2.0,1,1,20.2125,1
285,3,0,36.0,0,0,7.25,1
286,3,0,,0,0,7.25,1
287,1,0,24.0,1,0,82.2667,1
288,3,0,,0,0,7.2292,0
289,3,0,,0,0,8.05,1
290,1,0,,0,0,39.6,1
291,3,1,30.0,0,0,6.95,2
292,3,0,,0,0,7.2292,0
293,1,0,53.0,1,1,81.8583,1
294,3,0,36.0,0,0,9.5,1
295,3,0,26.0,0,0,7.8958,1
296,2,1,1.0,1,2,41.5792,0
297,3,0,,2,0,21.6792,0
298,1,0,30.0,0,0,45.5,1
299,3,0,29.0,0,0,7.8542,1
300,3,0,32.0,0,0,7.775,1
301,2,0,,0,0,15.0458,0
302,2,0,43.0,0,1,21.0,1
303,3,0,24.0,0,0,8.6625,1
304,3,1,,0,0,7.75,2
305,1,1,64.0,1,1,26.55,1
306,1,0,30.0,1,2,151.55,1
307,3,0,0.83,0,1,9.35,1
308,1,0,55.0,1,1,93.5,1
309,3,1,45.0,1,0,14.1083,1
310,3,0,18.0,0,0,8.6625,1
311,3,0,22.0,0,0,7.225,0
312,3,0,,0,0,7.575,1
313,3,1,37.0,0,0,7.75,2
314,1,1,55.0,0,0,135.6333,0
315,3,1,17.0,0,0,7.7333,2
316,1,0,57.0,1,0,146.5208,0
317,2,0,19.0,0,0,10.5,1
318,3,0,27.0,0,0,7.8542,1
319,2,0,22.0,2,0,31.5,1
320,3,0,26.0,0,0,7.775,1
321,3,0,25.0,0,0,7.2292,0
322,2,0,26.0,0,0,13.0,1
323,1,0,33.0,0,0,26.55,1
324,1,1,39.0,0,0,211.3375,1
325,3,0,23.0,0,0,7.05,1
326,2,1,12.0,2,1,39.0,1
327,1,0,46.0,0,0,79.2,0
328,2,0,29.0,1,0,26.0,1
329,2,0,21.0,0,0,13.0,1
330,2,1,48.0,0,2,36.75,1
331,1,0,39.0,0,0,29.7,0
332,3,0,,0,0,7.225,0
333,3,1,19.0,1,1,15.7417,0
334,3,0,27.0,0,0,7.8958,1
335,1,0,30.0,0,0,26.0,1
336,2,0,32.0,0,0,13.0,1
337,3,0,39.0,0,2,7.2292,0
338,2,0,25.0,0,0,31.5,1
339,3,0,,0,0,7.2292,0
340,2,0,18.0,0,0,10.5,1
341,3,0,32.0,0,0,7.5792,1
342,3,0,,1,9,69.55,1
343,1,1,58.0,0,1,512.3292,0
344,3,0,,1,1,14.5,1
345,3,1,16.0,0,0,7.65,1
346,2,0,26.0,0,0,13.0,1
347,3,1,38.0,0,0,7.2292,0
348,2,0,24.0,0,0,13.5,1
349,2,1,31.0,0,0,21.0,1
350,1,1,45.0,0,1,63.3583,0
351,2,0,25.0,0,0,10.5,1
352,2,0,18.0,0,0,73.5,1
353,2,0,49.0,1,2,65.0,1
354,3,1,0.17,1,2,20.575,1
355,1,0,50.0,0,0,26.0,1
356,1,1,59.0,2,0,51.4792,1
357,3,0,,0,0,7.8792,1
358,3,0,,0,0,7.75,2
359,3,1,30.0,1,0,15.55,1
360,3,0,14.5,8,2,69.55,1
361,2,1,24.0,1,1,37.0042,0
362,2,1,31.0,0,0,21.0,1
363,3,0,27.0,0,0,8.6625,1
364,1,1,25.0,1,0,55.4417,0
365,3,1,,1,9,69.55,1
366,3,0,,1,0,14.4583,0
367,3,1,22.0,0,0,39.6875,1
368,1,1,45.0,0,1,59.4,0
369,2,0,29.0,0,0,13.8583,0
370,2,0,21.0,1,0,11.5,1
371,1,1,31.0,0,0,134.5,0
372,1,0,49.0,0,0,0.0,1
373,2,0,44.0,0,0,13.0,1
374,1,1,54.0,1,1,81.8583,1
375,1,1,45.0,0,0,262.375,0
376,3,1,22.0,2,0,8.6625,1
377,2,0,21.0,0,0,11.5,1
378,1,0,55.0,0,0,50.0,1
379,3,0,5.0,4,2,31.3875,1
380,3,0,,0,0,7.75,2
381,3,0,26.0,0,0,7.8792,2
382,3,1,,0,0,14.5,1
383,3,1,19.0,1,0,16.1,1
384,2,0,,0,0,12.875,1
385,2,1,24.0,1,2,65.0,1
386,3,0,24.0,0,0,7.775,1
387,2,0,57.0,0,0,13.0,1
388,3,0,21.0,0,0,7.75,2
389,3,0,6.0,3,1,21.075,1
390,1,0,23.0,0,0,93.5,1
391,1,1,51.0,0,1,39.4,1
392,3,0,13.0,0,2,20.25,1
393,2,0,47.0,0,0,10.5,1
394,3,0,29.0,3,1,22.025,1
395,1,1,18.0,1,0,60.0,1
396,3,0,24.0,0,0,7.25,2
397,1,1,48.0,1,1,79.2,0
398,3,0,22.0,0,0,7.775,1
399,3,0,31.0,0,0,7.7333,2
400,1,1,30.0,0,0,164.8667,1
401,2,0,38.0,1,0,21.0,1
402,1,1,22.0,0,1,59.4,0
403,1,0,17.0,0,0,47.1,1
404,1,0,43.0,1,0,27.7208,0
405,2,0,20.0,0,0,13.8625,0
406,2,0,23.0,1,0,10.5,1
407,1,0,50.0,1,1,211.5,0
408,3,1,,0,0,7.7208,2
409,3,1,3.0,1,1,13.775,1
410,3,1,,0,0,7.75,2
411,1,1,37.0,1,0,90.0,2
412,3,1,28.0,0,0,7.775,1
413,3,0,,0,0,8.05,1
414,1,1,39.0,0,0,108.9,0
415,3,0,38.5,0,0,7.25,1
416,3,0,,0,0,8.05,1
417,3,0,,1,1,22.3583,0
